Light_ID,Area,Voltage,Current,Status,Latitude,Longitude,Install_Year,Last_Maintenance
SL001,North,230,0.50,Working,11.0168,76.9558,2019,2024-01-15
SL002,North,230,0.00,Faulty,11.0170,76.9560,2018,2023-09-10
SL003,South,228,0.45,Working,11.0150,76.9540,2020,2024-02-20
SL004,East,180,0.10,Faulty,11.0180,76.9580,2017,2023-06-05
SL005,West,225,0.48,Working,11.0160,76.9550,2021,2024-03-01
SL006,Central,220,0.42,Working,11.0165,76.9555,2019,2024-01-28
SL007,North,175,0.08,Faulty,11.0172,76.9562,2016,2023-04-12
SL008,South,229,0.49,Working,11.0152,76.9542,2020,2024-02-14
SL009,East,231,0.51,Working,11.0182,76.9582,2021,2024-03-10
SL010,West,160,0.00,Faulty,11.0162,76.9552,2017,2023-07-22
SL011,Central,227,0.46,Working,11.0167,76.9557,2020,2024-02-05
SL012,North,232,0.52,Working,11.0174,76.9564,2021,2024-03-15
SL013,South,170,0.05,Faulty,11.0154,76.9544,2016,2023-05-18
SL014,East,228,0.47,Working,11.0184,76.9584,2019,2024-01-20
SL015,West,226,0.44,Working,11.0164,76.9554,2020,2024-02-25
SL016,Central,185,0.12,Faulty,11.0169,76.9559,2018,2023-08-30
SL017,North,229,0.50,Working,11.0176,76.9566,2021,2024-03-20
SL018,South,230,0.51,Working,11.0156,76.9546,2022,2024-04-01
SL019,East,165,0.00,Faulty,11.0186,76.9586,2017,2023-03-14
SL020,West,228,0.48,Working,11.0166,76.9556,2020,2024-02-18
